model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4o,115,0.2331446217189912,21.0,3.0,122.0,27.0,0.6,1.0,1.1,22.0,51.0,105.0,146.0
gpt-4o,117,0.2221391174270756,11.0,7.0,87.0,17.0,0.6,1.0,1.1,23.0,35.0,87.0,105.0
gpt-4o,118,0.2629179331306991,14.0,6.0,80.0,17.0,0.6,1.0,1.1,21.0,37.0,71.0,100.0
gpt-4o,119,0.2103075644222776,11.0,3.0,73.0,22.0,0.6,1.0,1.1,22.0,36.0,76.0,87.0
gpt-4o,120,0.1918208373904576,12.0,14.0,132.0,34.0,0.6,1.0,1.1,28.0,60.0,138.0,158.0
gpt-4o,121,0.2229943145925457,16.0,3.0,101.0,22.0,0.6,1.0,1.1,27.0,41.0,89.0,120.0
gpt-4o,122,0.2536327608982827,17.0,4.0,93.0,20.0,0.6,1.0,1.1,21.0,41.0,78.0,114.0
gpt-4o,123,0.2231308411214953,18.0,2.0,114.0,19.0,0.6,1.0,1.1,22.0,39.0,92.0,134.0
gpt-4o,124,0.2260692464358452,25.0,5.0,147.0,43.0,0.6,1.0,1.1,32.0,73.0,189.0,177.0
gpt-4o,125,0.2768079800498753,15.0,3.0,66.0,21.0,0.6,1.0,1.1,23.0,39.0,53.0,84.0
gpt-4o,126,0.2037470725995316,19.0,5.0,137.0,33.0,0.6,1.0,1.1,28.0,57.0,125.0,161.0
gpt-4o,127,0.2648709315375982,17.0,12.0,104.0,27.0,0.6,1.0,1.1,28.0,56.0,103.0,133.0
gpt-4o,128,0.1859225026661926,19.0,13.0,182.0,47.0,0.6,1.0,1.1,40.0,79.0,238.0,214.0
gpt-4o,129,0.1520100502512563,11.0,2.0,116.0,19.0,0.6,1.0,1.1,24.0,32.0,82.0,129.0
gpt-4o,130,0.2629984856133266,20.0,11.0,104.0,42.0,0.6,1.0,1.1,35.0,73.0,145.0,135.0
gpt-4o,131,0.2190669371196754,15.0,12.0,126.0,28.0,0.6,1.0,1.1,27.0,55.0,126.0,153.0
gpt-4o,132,0.3075245365321701,26.0,4.0,91.0,36.0,0.6,1.0,1.1,32.0,66.0,152.0,121.0
gpt-4o,133,0.2981186685962373,14.0,12.0,62.0,35.0,0.6,1.0,1.1,32.0,61.0,81.0,88.0
gpt-4o,134,0.1905480140774258,14.0,9.0,138.0,23.0,0.6,1.0,1.1,24.0,46.0,124.0,161.0
gpt-4o,135,0.2291220556745181,17.0,8.0,117.0,27.0,0.6,1.0,1.1,35.0,52.0,137.0,142.0
gpt-4o,136,0.2279909706546275,17.0,15.0,123.0,48.0,0.6,1.0,1.1,44.0,80.0,178.0,155.0
gpt-4o,137,0.1960696739615899,17.0,9.0,156.0,24.0,0.6,1.0,1.1,31.0,50.0,246.0,182.0
gpt-4o,138,0.2158092848180677,15.0,4.0,101.0,24.0,0.6,1.0,1.1,32.0,43.0,87.0,120.0
gpt-4o,139,0.150375939849624,10.0,0.0,99.0,14.0,0.6,1.0,1.1,19.0,24.0,84.0,109.0
gpt-4o,140,0.2841163310961968,21.0,8.0,98.0,30.0,0.6,1.0,1.1,32.0,59.0,122.0,127.0
gpt-4o,141,0.2889087656529517,29.0,6.0,125.0,34.0,0.6,1.0,1.1,41.0,69.0,167.0,160.0
gpt-4o,143,0.3201930812550281,31.0,16.0,121.0,48.0,0.6,1.0,1.1,46.0,95.0,182.0,168.0
gpt-4o,144,0.2578456318914334,26.0,8.0,126.0,49.0,0.6,1.0,1.1,47.0,83.0,148.0,160.0
gpt-4o,145,0.2622560685387911,27.0,1.0,119.0,36.0,0.6,1.0,1.1,37.0,64.0,150.0,147.0
gpt-4o,146,0.3619094008767656,30.0,13.0,95.0,36.0,0.6,1.0,1.1,42.0,79.0,142.0,138.0
gpt-4o,147,0.1607396870554765,12.0,9.0,142.0,35.0,0.6,1.0,1.1,40.0,56.0,127.0,163.0
gpt-4o,148,0.235936188077246,8.0,11.0,79.0,12.0,0.6,1.0,1.1,20.0,31.0,60.0,98.0
gpt-4o,149,0.2326235435918039,24.0,9.0,136.0,55.0,0.6,1.0,1.1,42.0,88.0,147.0,169.0
gpt-4o,150,0.2314990512333965,20.0,8.0,138.0,24.0,0.6,1.0,1.1,35.0,52.0,133.0,166.0
gpt-4o,151,0.2024539877300613,22.0,8.0,174.0,34.0,0.6,1.0,1.1,38.0,64.0,195.0,204.0
gpt-4o,152,0.2881858625803262,22.0,13.0,112.0,32.0,0.6,1.0,1.1,33.0,67.0,135.0,147.0
gpt-4o,153,0.3002257336343115,15.0,9.0,69.0,24.0,0.6,1.0,1.1,27.0,48.0,52.0,93.0
gpt-5,100,0.2206615314907114,15.0,17.0,147.0,25.0,0.6,1.0,1.1,36.0,57.0,195.0,179.0
gpt-5,101,0.1402985074626865,9.0,5.0,134.0,10.0,0.6,1.0,1.1,14.0,24.0,127.0,148.0
gpt-5,102,0.1666666666666666,12.0,6.0,135.0,18.0,0.6,1.0,1.1,15.0,36.0,124.0,153.0
gpt-5,103,0.172461752433936,8.0,8.0,107.0,12.0,0.6,1.0,1.1,13.0,28.0,93.0,123.0
gpt-5,104,0.230164964650432,13.0,3.0,90.0,8.0,0.6,1.0,1.1,14.0,24.0,68.0,106.0
gpt-5,105,0.1308455361360415,10.0,7.0,172.0,12.0,0.6,1.0,1.1,14.0,29.0,158.0,189.0
gpt-5,107,0.3813075910487056,33.0,19.0,96.0,45.0,0.6,1.0,1.1,45.0,97.0,200.0,148.0
gpt-5,108,0.1173664122137404,9.0,6.0,172.0,13.0,0.6,1.0,1.1,20.0,28.0,201.0,187.0
gpt-5,109,0.1509889049686444,14.0,3.0,147.0,29.0,0.6,1.0,1.1,21.0,46.0,149.0,164.0
gpt-5,110,0.2022613065326633,15.0,2.0,107.0,20.0,0.6,1.0,1.1,17.0,37.0,101.0,124.0
gpt-5,111,0.1861648016276704,15.0,6.0,145.0,15.0,0.6,1.0,1.1,25.0,36.0,119.0,166.0
gpt-5,112,0.1527878349022447,10.0,1.0,105.0,12.0,0.6,1.0,1.1,21.0,23.0,133.0,116.0
gpt-5,113,0.1376228775692582,11.0,8.0,181.0,12.0,0.6,1.0,1.1,18.0,31.0,245.0,200.0
gpt-5,114,0.1762452107279693,14.0,8.0,149.0,23.0,0.6,1.0,1.1,29.0,45.0,144.0,171.0
gpt-5,115,0.1779141104294478,19.0,5.0,174.0,27.0,0.6,1.0,1.1,22.0,51.0,179.0,198.0
gpt-5,117,0.1609081934846989,13.0,6.0,154.0,16.0,0.6,1.0,1.1,23.0,35.0,158.0,173.0
gpt-5,118,0.1876750700280112,14.0,5.0,127.0,18.0,0.6,1.0,1.1,21.0,37.0,108.0,146.0
gpt-5,119,0.1460234680573663,9.0,4.0,108.0,23.0,0.6,1.0,1.1,22.0,36.0,104.0,121.0
gpt-5,120,0.166023166023166,16.0,10.0,182.0,34.0,0.6,1.0,1.1,28.0,60.0,248.0,208.0
gpt-5,121,0.1539467945922372,16.0,3.0,172.0,22.0,0.6,1.0,1.1,27.0,41.0,169.0,191.0
gpt-5,122,0.1903719912472647,13.0,8.0,128.0,20.0,0.6,1.0,1.1,21.0,41.0,116.0,149.0
gpt-5,123,0.1641641641641641,12.0,8.0,148.0,19.0,0.6,1.0,1.1,22.0,39.0,140.0,168.0
gpt-5,124,0.2122883024812918,22.0,9.0,158.0,42.0,0.6,1.0,1.1,32.0,73.0,247.0,189.0
gpt-5,125,0.2066805845511482,11.0,7.0,93.0,21.0,0.6,1.0,1.1,23.0,39.0,85.0,111.0
gpt-5,126,0.1688424717145343,15.0,8.0,157.0,34.0,0.6,1.0,1.1,28.0,57.0,196.0,180.0
gpt-5,127,0.2228673514962036,20.0,9.0,147.0,27.0,0.6,1.0,1.1,28.0,56.0,156.0,176.0
gpt-5,128,0.2180388911874224,17.0,17.0,144.0,45.0,0.6,1.0,1.1,40.0,79.0,207.0,178.0
gpt-5,129,0.1367713004484304,10.0,4.0,136.0,18.0,0.6,1.0,1.1,24.0,32.0,108.0,150.0
gpt-5,130,0.2113095238095237,24.0,8.0,171.0,41.0,0.6,1.0,1.1,35.0,73.0,217.0,203.0
gpt-5,131,0.2332613390928726,15.0,12.0,114.0,28.0,0.6,1.0,1.1,27.0,55.0,152.0,141.0
gpt-5,132,0.2221779018747507,24.0,7.0,160.0,35.0,0.6,1.0,1.1,32.0,66.0,238.0,191.0
gpt-5,133,0.238095238095238,17.0,10.0,110.0,34.0,0.6,1.0,1.1,32.0,61.0,108.0,137.0
gpt-5,134,0.1542076035882101,12.0,11.0,175.0,23.0,0.6,1.0,1.1,24.0,46.0,194.0,198.0
gpt-5,135,0.190775681341719,20.0,5.0,166.0,27.0,0.6,1.0,1.1,35.0,52.0,189.0,191.0
gpt-5,136,0.2135761589403973,17.0,16.0,143.0,47.0,0.6,1.0,1.1,44.0,80.0,210.0,176.0
gpt-5,137,0.2091472129585516,17.0,9.0,142.0,24.0,0.6,1.0,1.1,31.0,50.0,165.0,168.0
gpt-5,138,0.1825192802056555,15.0,5.0,136.0,23.0,0.6,1.0,1.1,32.0,43.0,142.0,156.0
gpt-5,139,0.1270319084888621,10.0,1.0,132.0,13.0,0.6,1.0,1.1,19.0,24.0,119.0,143.0
gpt-5,140,0.1940412528647822,21.0,8.0,181.0,30.0,0.6,1.0,1.1,32.0,59.0,232.0,210.0
gpt-5,141,0.2319936331078392,22.0,13.0,159.0,34.0,0.6,1.0,1.1,41.0,69.0,241.0,194.0
gpt-5,143,0.2724627137140779,27.0,19.0,151.0,49.0,0.6,1.0,1.1,46.0,95.0,246.0,197.0
gpt-5,144,0.2327459618208517,24.0,14.0,164.0,45.0,0.6,1.0,1.1,47.0,83.0,209.0,202.0
gpt-5,145,0.1975544516622086,22.0,7.0,175.0,35.0,0.6,1.0,1.1,37.0,64.0,225.0,204.0
gpt-5,146,0.3153710247349823,28.0,14.0,118.0,37.0,0.6,1.0,1.1,42.0,79.0,190.0,160.0
gpt-5,147,0.1387998167659184,8.0,13.0,153.0,35.0,0.6,1.0,1.1,40.0,56.0,172.0,174.0
gpt-5,148,0.17420814479638,11.0,8.0,134.0,12.0,0.6,1.0,1.1,20.0,31.0,91.0,153.0
gpt-5,149,0.222389181066867,23.0,12.0,154.0,53.0,0.6,1.0,1.1,42.0,88.0,183.0,189.0
gpt-5,150,0.213934792317999,19.0,9.0,152.0,24.0,0.6,1.0,1.1,35.0,52.0,176.0,180.0
gpt-5,151,0.241131567130669,23.0,7.0,135.0,34.0,0.6,1.0,1.1,38.0,64.0,165.0,165.0
gpt-5,152,0.2152380952380952,20.0,15.0,174.0,32.0,0.6,1.0,1.1,33.0,67.0,222.0,209.0
gpt-5,153,0.2689655172413793,14.0,10.0,82.0,24.0,0.6,1.0,1.1,27.0,48.0,79.0,106.0
