dataset,count,mean,median,std,min,max,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high
P1_Day1_FCM_closed_caption,6,0.2629161265873946,0.2771700945357888,0.08295207991963831,0.1350397175639894,0.3590504451038576,0.17586325751622614,0.3499689956585631,0.20038464970814837,0.3212353065855351
P2_Day1_FCM_closed_caption,6,0.3759698515715248,0.38492197527528205,0.1349820013159623,0.1608391608391608,0.5419847328244275,0.23431492864606732,0.5176247744969823,0.274366620197301,0.469837175075758
P3_Day1_FCM_closed_caption,6,0.271646621321236,0.29997269997269993,0.14603891378158415,0.0327868852459016,0.4361702127659574,0.11838818038714477,0.42490506225532726,0.15997623674261294,0.37019479277764594
P4_Day1_FCM_closed_caption,6,0.30559615554300334,0.3458927704675451,0.08589606091348319,0.1367521367521367,0.3571428571428571,0.21545376789371767,0.395738543192289,0.23458912025025377,0.3520993375301396
P5_Day1_FCM_closed_caption,6,0.26095451021972776,0.29798363841409437,0.0888507061898542,0.1431451612903225,0.3388429752066115,0.16771141251416805,0.3541976079252875,0.19514784222088283,0.321996970505746
