dataset,count,mean,median,std,min,max,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high
100,1,0.2803504380475594,0.2803504380475594,0.0,0.2803504380475594,0.2803504380475594,,,0.2803504380475594,0.2803504380475594
101,1,0.4786729857819904,0.4786729857819904,0.0,0.4786729857819904,0.4786729857819904,,,0.4786729857819904,0.4786729857819904
102,1,0.1507430997876857,0.1507430997876857,0.0,0.1507430997876857,0.1507430997876857,,,0.1507430997876857,0.1507430997876857
103,1,0.0996784565916398,0.0996784565916398,0.0,0.0996784565916398,0.0996784565916398,,,0.0996784565916398,0.0996784565916398
104,1,0.2,0.2,0.0,0.2,0.2,,,0.2,0.2
105,1,0.2490494296577946,0.2490494296577946,0.0,0.2490494296577946,0.2490494296577946,,,0.2490494296577946,0.2490494296577946
107,1,0.1850828729281768,0.1850828729281768,0.0,0.1850828729281768,0.1850828729281768,,,0.1850828729281768,0.1850828729281768
108,1,0.2564102564102564,0.2564102564102564,0.0,0.2564102564102564,0.2564102564102564,,,0.2564102564102564,0.2564102564102564
109,1,0.0425531914893617,0.0425531914893617,0.0,0.0425531914893617,0.0425531914893617,,,0.0425531914893617,0.0425531914893617
110,1,0.2083333333333333,0.2083333333333333,0.0,0.2083333333333333,0.2083333333333333,,,0.2083333333333333,0.2083333333333333
111,1,0.3530499075785582,0.3530499075785582,0.0,0.3530499075785582,0.3530499075785582,,,0.3530499075785582,0.3530499075785582
112,1,0.3841642228739003,0.3841642228739003,0.0,0.3841642228739003,0.3841642228739003,,,0.3841642228739003,0.3841642228739003
113,1,0.3450292397660818,0.3450292397660818,0.0,0.3450292397660818,0.3450292397660818,,,0.3450292397660818,0.3450292397660818
114,1,0.4469026548672566,0.4469026548672566,0.0,0.4469026548672566,0.4469026548672566,,,0.4469026548672566,0.4469026548672566
115,1,0.3244304791830322,0.3244304791830322,0.0,0.3244304791830322,0.3244304791830322,,,0.3244304791830322,0.3244304791830322
